firm,year,filename,summary,positive,negative,compound_sentiment,total_tokens,asset_counts,region_counts,aspect_sentiments,region_sentiments,topic_id,topic_keywords,topic_label
JPMorgan,2021,12_JPMorgan_2021.pdf,"Government and central bank support appears to have carried economies through the worst of the Covid-19 crisis. After a decade of US market dominance, it could be Asia’s turn to shine.",126,159,-0.11578947368421053,1,"{'Equity': 27, 'Fixed Income': 46, 'Real Estate': 8, 'Commodities': 0, 'Alternatives': 2, 'Infrastructure': 10, 'Private Equity': 0, 'Hedge Funds': 1, 'Cash': 2}","{'USA': 153, 'Europe': 64, 'Asia': 53, 'Emerging Markets': 1}","{'Equity': 0.2818436518959377, 'Fixed Income': 0.07513481378555298, 'Real Estate': 0.0870097354054451, 'Commodities': None, 'Alternatives': 0.46052780747413635, 'Infrastructure': 0.31135199069976804, 'Private Equity': None, 'Hedge Funds': 0.0, 'Cash': 0.2825726568698883}","{'USA': 0.21086729207524546, 'Europe': 0.2835242450237274, 'Asia': 0.2269698059236681, 'Emerging Markets': 0.9408516883850098}",0,"[('the', 0.11447594875183065), ('and', 0.07945768982930382), ('of', 0.07586483698910183), ('to', 0.07392248811795796), ('in', 0.07153207934828493), ('for', 0.04336095749810486), ('is', 0.04003583565185747), ('as', 0.03608450060291426), ('are', 0.0319405978497015), ('we', 0.03121471118042685)]","the, and, of"
JPMorgan,2022,12_JPMorgan_2022.pdf,"Two years ago, the U.S. and global economies were rocked by two enormous shocks. Pandemic and the policy response triggered giant waves in economic output, employment and inflation. For investors, the key to investing in 2022 and beyond is to navigate what is left of these waves.",112,107,0.0228310502283105,1,"{'Equity': 4, 'Fixed Income': 5, 'Real Estate': 3, 'Commodities': 0, 'Alternatives': 7, 'Infrastructure': 5, 'Private Equity': 1, 'Hedge Funds': 0, 'Cash': 1}","{'USA': 96, 'Europe': 26, 'Asia': 27, 'Emerging Markets': 1}","{'Equity': 0.8318749070167542, 'Fixed Income': 0.20227962732315063, 'Real Estate': -0.321122666200002, 'Commodities': None, 'Alternatives': 0.22496859232584634, 'Infrastructure': 0.562396784623464, 'Private Equity': 0.8899791836738586, 'Hedge Funds': None, 'Cash': 0.0}","{'USA': 0.25727250655492145, 'Europe': 0.13109692118384622, 'Asia': 0.1814773538533379, 'Emerging Markets': 0.0}",0,"[('the', 0.11447594875183065), ('and', 0.07945768982930382), ('of', 0.07586483698910183), ('to', 0.07392248811795796), ('in', 0.07153207934828493), ('for', 0.04336095749810486), ('is', 0.04003583565185747), ('as', 0.03608450060291426), ('are', 0.0319405978497015), ('we', 0.03121471118042685)]","the, and, of"
JPMorgan,2023,12_JPMorgan_2023.pdf,"Developed world growth to slow with housing activity bearing the brunt. Housing markets are, as usual, the first to react to central banks touching the monetary brake. Construction will weaken, spending on furniture and other household durables will fall and falling house prices could weigh on consumer spending.",120,265,-0.37662337662337664,1,"{'Equity': 54, 'Fixed Income': 33, 'Real Estate': 0, 'Commodities': 1, 'Alternatives': 3, 'Infrastructure': 1, 'Private Equity': 1, 'Hedge Funds': 1, 'Cash': 3}","{'USA': 168, 'Europe': 64, 'Asia': 26, 'Emerging Markets': 8}","{'Equity': -0.039826386196668756, 'Fixed Income': 0.1772376705299724, 'Real Estate': None, 'Commodities': 0.9463671445846558, 'Alternatives': 0.2780952453613281, 'Infrastructure': 0.0, 'Private Equity': 0.8342857360839844, 'Hedge Funds': 0.0, 'Cash': -0.30629966656366986}","{'USA': -0.07912611792672355, 'Europe': 0.08733780338213994, 'Asia': 0.07852865755558014, 'Emerging Markets': -0.46970751881599426}",0,"[('the', 0.11447594875183065), ('and', 0.07945768982930382), ('of', 0.07586483698910183), ('to', 0.07392248811795796), ('in', 0.07153207934828493), ('for', 0.04336095749810486), ('is', 0.04003583565185747), ('as', 0.03608450060291426), ('are', 0.0319405978497015), ('we', 0.03121471118042685)]","the, and, of"
JPMorgan,2024,12_JPMorgan_2024.pdf,"As we head into 2024, a combination of solid activity and falling inflation has seen the market narrative increasingly shift towards the prospects of a soft landing. We think it's too early for the central banks to declare outright victory over inflation, and anticipate that rate cuts in 2024 are unlikely to pre-empt economic weakness. Investors should focus on locking in yields currently on offer in the bond market.",111,228,-0.34513274336283184,1,"{'Equity': 34, 'Fixed Income': 38, 'Real Estate': 4, 'Commodities': 3, 'Alternatives': 7, 'Infrastructure': 5, 'Private Equity': 2, 'Hedge Funds': 3, 'Cash': 36}","{'USA': 176, 'Europe': 90, 'Asia': 33, 'Emerging Markets': 2}","{'Equity': -0.04166498141629355, 'Fixed Income': 0.010122020398416826, 'Real Estate': -0.3208383321762085, 'Commodities': 0.0, 'Alternatives': -0.007784287134806315, 'Infrastructure': 0.20885904133319855, 'Private Equity': 0.0, 'Hedge Funds': 0.24106385310490927, 'Cash': 0.22625574895313807}","{'USA': -0.00038419273055967737, 'Europe': 0.08803435596259865, 'Asia': -0.013213910162448883, 'Emerging Markets': 0.8006680309772491}",0,"[('the', 0.11447594875183065), ('and', 0.07945768982930382), ('of', 0.07586483698910183), ('to', 0.07392248811795796), ('in', 0.07153207934828493), ('for', 0.04336095749810486), ('is', 0.04003583565185747), ('as', 0.03608450060291426), ('are', 0.0319405978497015), ('we', 0.03121471118042685)]","the, and, of"
JPMorgan,2025,12_JPMorgan_2025.pdf,"Our central expectation is that President Trump’s policy agenda will be growth supportive. But there are risks, particularly if the balance of fiscal stimulus, tariffs and immigration curbs prompt more inflation than real growth. For equity market leadership, how the technology boom evolves is more important than who is in the White House.",194,269,-0.16198704103671707,1,"{'Equity': 40, 'Fixed Income': 28, 'Real Estate': 9, 'Commodities': 4, 'Alternatives': 3, 'Infrastructure': 6, 'Private Equity': 0, 'Hedge Funds': 8, 'Cash': 7}","{'USA': 303, 'Europe': 202, 'Asia': 70, 'Emerging Markets': 3}","{'Equity': 0.13615144623650444, 'Fixed Income': 0.2107143831253052, 'Real Estate': -0.010451942682266235, 'Commodities': 0.0, 'Alternatives': 0.0, 'Infrastructure': 0.18769766092300416, 'Private Equity': None, 'Hedge Funds': 0.14167073369026184, 'Cash': 0.5997912486394247}","{'USA': 0.015222418117013208, 'Europe': -0.059457999177095364, 'Asia': 0.01748660922050476, 'Emerging Markets': 0.3105183243751526}",0,"[('the', 0.11447594875183065), ('and', 0.07945768982930382), ('of', 0.07586483698910183), ('to', 0.07392248811795796), ('in', 0.07153207934828493), ('for', 0.04336095749810486), ('is', 0.04003583565185747), ('as', 0.03608450060291426), ('are', 0.0319405978497015), ('we', 0.03121471118042685)]","the, and, of"
Morningstar,2023,13_Morningstar_2023.pdf,"This year, we cover our “2 x 2 Investing Grid’ again, but also add our ideas for people in their 20s, 30s, 40, 50s, 60s and 70s. The fall in the price of equities and bonds this year has improved the outlook for investors.",121,165,-0.15384615384615385,1,"{'Equity': 14, 'Fixed Income': 20, 'Real Estate': 0, 'Commodities': 0, 'Alternatives': 0, 'Infrastructure': 1, 'Private Equity': 0, 'Hedge Funds': 0, 'Cash': 13}","{'USA': 96, 'Europe': 22, 'Asia': 4, 'Emerging Markets': 5}","{'Equity': 0.05918676086834499, 'Fixed Income': 0.14813332855701447, 'Real Estate': None, 'Commodities': None, 'Alternatives': None, 'Infrastructure': 0.0, 'Private Equity': None, 'Hedge Funds': None, 'Cash': 0.2325336088736852}","{'USA': -0.0742354962306145, 'Europe': -0.07723842312892278, 'Asia': 0.0, 'Emerging Markets': 0.2319202721118927}",0,"[('the', 0.11447594875183065), ('and', 0.07945768982930382), ('of', 0.07586483698910183), ('to', 0.07392248811795796), ('in', 0.07153207934828493), ('for', 0.04336095749810486), ('is', 0.04003583565185747), ('as', 0.03608450060291426), ('are', 0.0319405978497015), ('we', 0.03121471118042685)]","the, and, of"
Morningstar,2024,13_Morningstar_2024.pdf,"Morningstar's approach to the year will be a blend of caution and optimism. For those in Australia, and Asia Pacific more generally, the investment arena may appear daunting given recent market volatility. We see positives in this environment, with opportunities to add value in fixed income and selected equity markets.",432,325,0.14134742404227213,1,"{'Equity': 56, 'Fixed Income': 94, 'Real Estate': 5, 'Commodities': 0, 'Alternatives': 3, 'Infrastructure': 1, 'Private Equity': 0, 'Hedge Funds': 0, 'Cash': 14}","{'USA': 214, 'Europe': 36, 'Asia': 27, 'Emerging Markets': 8}","{'Equity': 0.09106236457824707, 'Fixed Income': 0.11202591086087162, 'Real Estate': -0.37919681072235106, 'Commodities': None, 'Alternatives': 0.0, 'Infrastructure': 0.0, 'Private Equity': None, 'Hedge Funds': None, 'Cash': -0.15780524412790933}","{'USA': 0.09044521418777672, 'Europe': -0.33500854758655324, 'Asia': -0.025595466727795807, 'Emerging Markets': -0.12701664652143205}",0,"[('the', 0.11447594875183065), ('and', 0.07945768982930382), ('of', 0.07586483698910183), ('to', 0.07392248811795796), ('in', 0.07153207934828493), ('for', 0.04336095749810486), ('is', 0.04003583565185747), ('as', 0.03608450060291426), ('are', 0.0319405978497015), ('we', 0.03121471118042685)]","the, and, of"
Morningstar,2025,13_Morningstar_2025.pdf,"The 2025 Outlook Report Empowering Investor Success is published by Morningstar every year. The outlook is designed to help you succeed by bringing together the research and insights from analysts and investors across Morningstar. The report is divided into six sections, each of which addresses a key challenge or opportunity faced by investors.",219,208,0.02576112412177986,1,"{'Equity': 33, 'Fixed Income': 19, 'Real Estate': 0, 'Commodities': 0, 'Alternatives': 1, 'Infrastructure': 7, 'Private Equity': 3, 'Hedge Funds': 0, 'Cash': 24}","{'USA': 228, 'Europe': 29, 'Asia': 29, 'Emerging Markets': 5}","{'Equity': 0.1584544117961611, 'Fixed Income': 0.25020744403203327, 'Real Estate': None, 'Commodities': None, 'Alternatives': 0.0, 'Infrastructure': 0.2082769445010594, 'Private Equity': 0.0, 'Hedge Funds': None, 'Cash': -0.13709819587794217}","{'USA': 0.114627675658249, 'Europe': 0.16031344873564585, 'Asia': 0.04202084881918771, 'Emerging Markets': -0.06315613985061645}",0,"[('the', 0.11447594875183065), ('and', 0.07945768982930382), ('of', 0.07586483698910183), ('to', 0.07392248811795796), ('in', 0.07153207934828493), ('for', 0.04336095749810486), ('is', 0.04003583565185747), ('as', 0.03608450060291426), ('are', 0.0319405978497015), ('we', 0.03121471118042685)]","the, and, of"
NothernTrust,2025,14_NothernTrust_2025.pdf,"The investment landscape remains both complex and full of opportunity. Navigating this environment requires a steady hand, rigorous analysis and a commitment to long-term value creation. As always, our focus remains on preserving your capital and capturing the best opportunities available.",189,231,-0.1,1,"{'Equity': 42, 'Fixed Income': 34, 'Real Estate': 13, 'Commodities': 1, 'Alternatives': 1, 'Infrastructure': 10, 'Private Equity': 24, 'Hedge Funds': 6, 'Cash': 9}","{'USA': 111, 'Europe': 46, 'Asia': 40, 'Emerging Markets': 14}","{'Equity': 0.2861233875155449, 'Fixed Income': 0.24693752147934653, 'Real Estate': -0.006213227907816569, 'Commodities': 0.0, 'Alternatives': 0.0, 'Infrastructure': 0.7006962448358536, 'Private Equity': 0.08813509345054626, 'Hedge Funds': 0.469237744808197, 'Cash': 0.301554836332798}","{'USA': 0.15436837803094816, 'Europe': -0.06831230028815892, 'Asia': -0.03440616066966738, 'Emerging Markets': 0.030170974632104237}",0,"[('the', 0.11447594875183065), ('and', 0.07945768982930382), ('of', 0.07586483698910183), ('to', 0.07392248811795796), ('in', 0.07153207934828493), ('for', 0.04336095749810486), ('is', 0.04003583565185747), ('as', 0.03608450060291426), ('are', 0.0319405978497015), ('we', 0.03121471118042685)]","the, and, of"
StateStreet,2024,17_StateStreet_2024.pdf,"State Street Global Advisors offers an Investment Implementation Guide for 2024. The guide looks at how investors can gain exposure to the key themes unfolding over the coming year and beyond. We see fixed income as a bright spot for investors in 2024 given current yield levels, slowing growth, and continued disinflation.",83,94,-0.062146892655367235,1,"{'Equity': 26, 'Fixed Income': 20, 'Real Estate': 0, 'Commodities': 2, 'Alternatives': 3, 'Infrastructure': 2, 'Private Equity': 0, 'Hedge Funds': 1, 'Cash': 3}","{'USA': 87, 'Europe': 16, 'Asia': 12, 'Emerging Markets': 21}","{'Equity': 0.3625866323709488, 'Fixed Income': 0.393813069909811, 'Real Estate': None, 'Commodities': 0.33980855345726013, 'Alternatives': 0.0, 'Infrastructure': 0.33980855345726013, 'Private Equity': None, 'Hedge Funds': 0.0, 'Cash': 0.0}","{'USA': 0.21564235991122677, 'Europe': 0.10349198430776596, 'Asia': 0.3246059715747833, 'Emerging Markets': 0.16116068038073453}",0,"[('the', 0.11447594875183065), ('and', 0.07945768982930382), ('of', 0.07586483698910183), ('to', 0.07392248811795796), ('in', 0.07153207934828493), ('for', 0.04336095749810486), ('is', 0.04003583565185747), ('as', 0.03608450060291426), ('are', 0.0319405978497015), ('we', 0.03121471118042685)]","the, and, of"
StateStreet,2025,17_StateStreet_2025.pdf,Global Market Outlook 2025 Finding the Right Path Contents 04 05 08 11 14 17 19 20 22 Outlooks A Soft Landing Beckons Slow-Moving Fragmentation Continues Searching for Pockets of Opportunity Favorable Environment for Sovereigns Beyond 60/40: Improving Durability and Diversification in Portfolios Thematic Investing GCC Region in Bloom: Expanding the Investment Horizon Exploring Transformative Technologies: En Route to Peak Altitude,204,207,-0.0072992700729927005,1,"{'Equity': 22, 'Fixed Income': 29, 'Real Estate': 5, 'Commodities': 4, 'Alternatives': 0, 'Infrastructure': 7, 'Private Equity': 1, 'Hedge Funds': 2, 'Cash': 1}","{'USA': 162, 'Europe': 35, 'Asia': 37, 'Emerging Markets': 9}","{'Equity': 0.47297000222735935, 'Fixed Income': 0.45217978670483544, 'Real Estate': 0.0, 'Commodities': 0.0, 'Alternatives': None, 'Infrastructure': 0.31670572076525005, 'Private Equity': 0.0, 'Hedge Funds': 0.0, 'Cash': -0.9458214044570923}","{'USA': 0.1613334855757469, 'Europe': 0.015971820605428594, 'Asia': -0.0008758923837116786, 'Emerging Markets': 0.6216742595036825}",0,"[('the', 0.11447594875183065), ('and', 0.07945768982930382), ('of', 0.07586483698910183), ('to', 0.07392248811795796), ('in', 0.07153207934828493), ('for', 0.04336095749810486), ('is', 0.04003583565185747), ('as', 0.03608450060291426), ('are', 0.0319405978497015), ('we', 0.03121471118042685)]","the, and, of"
